,ventas_totales_medio_pago,subtotal_ventas_alimentos_bebidas,verduleria_fruteria,otros
0,27858872.08289,18043789.15975,1050313.6381999997,2806660.309370001
1,25994200.16707,17656879.0774891,1026166.54377,2354084.90063
2,27780006.52225002,19186248.0527303,1075525.84159,2266189.276857
3,29134272.21961001,20257135.09719,1037213.1617099998,2146755.88727
4,27969004.676939998,18904574.403351597,982651.16055459,2117971.4826696
5,29132712.7446,19601615.797832,952203.315,2358093.34478
6,31182302.456590004,20882660.9498715,994343.577518,2678008.53231
7,31154880.943740003,20666687.818400696,1060479.162074,3234640.0713499985
8,30521506.19527,21025932.9445389,1078616.457257,2373405.42364
9,32445983.01393,21743902.234570004,1147860.2918,2538296.93164
10,33628982.657100014,21967173.399896298,1206025.3777199998,3079244.8833
11,40766322.1043,26888567.2558907,1398334.6893299995,4502834.048160002
12,32479208.00556999,21415403.097654004,1318384.4937699998,3142844.9503700007
13,31736824.55214,21328882.90137,1248469.28659,2995841.86549
14,36531291.32867001,25205918.02852,1329929.28416,2970282.54825
15,34113745.66680001,23327342.936460003,1205249.4992100005,2625030.727780001
16,35133146.39128,23066625.490795,1155946.755705,2698300.463320001
17,38338209.74565996,25418022.4916865,1186724.0815500002,2874416.495310001
18,39278449.96263997,26789219.71900221,1296379.377981,3340891.025500001
19,39491907.27419998,26996838.62034418,1359742.1032454548,3951234.299727921
20,39925548.99754999,28191321.865456,1330111.03351,2924735.549960001
21,43420253.82247999,30065814.641688,1478760.39679,3313478.76013
22,44849446.00603998,30971868.835442998,1590214.27644,3606806.5624000006
23,57203955.86361999,38897886.82512,1782265.95895,5985972.076199999
24,45433623.71206,30532173.730396003,1622205.3741,4137451.7614600006
25,44592144.895340025,30680257.78658,1607641.39853,3865105.050222221
26,51065694.25465001,35639253.94641899,1733045.1574399995,4127581.7771799993
27,49621409.27512004,35631833.000382,1598053.8844300006,3457368.2275
28,50778299.9144,35586722.00145,1526614.2530900002,3597721.7080899994
29,54413419.61482,37819361.44685999,1591347.4123299995,3907782.500920001
30,55044482.25732,38131665.01202951,1696455.0968255005,4297343.575850001
31,59672104.45567001,41692727.534866,1903751.83603,5064885.080120002
32,57885306.40686999,41090401.956106,1949185.85839,3970054.858129999
33,66325579.59368,45492474.30343828,2143017.1776677,4634783.450476599
34,67943710.18743,46073845.36260799,2347744.24576,5219409.78283
35,83524644.2915,57646427.95771201,2838731.6731,7726583.6806000015
36,70145010.27273001,47496667.89030299,2685147.6436800007,6038180.458899999
37,72494433.66173999,50272765.35498399,2778662.8211,6081261.13692
38,85778031.08881997,61417479.251030006,3248772.9431,5464393.7486000005
39,75009596.63855001,54905216.88272,2981509.854250001,4487693.823164
40,78594521.82045001,54285024.123542,2771794.5182680013,5243957.21801
41,78232859.60185996,53685318.328287005,2610763.0102969995,5435915.285497
42,81140696.22145997,55359666.66118,2712593.82773,5935993.913120001
43,80411973.28758001,55526501.796220005,2842695.030080001,6781847.07192
44,77055774.35700998,53998395.65966,2932524.2403599992,5591342.4279000005
45,89224281.05372998,60214691.697208,3508831.9935000003,6525379.813040002
46,91093507.31223996,60913255.91404001,3600215.44108,7539583.619620001
47,115806128.11518,80643208.2984066,4262746.5995459,10230913.54037
48,98007583.25283,67171235.97265501,4076717.80431,7986064.870480001
49,92954233.68111998,65274742.248134,3978725.70026,7255727.26592
50,107225884.48978,75459017.55465901,4214424.174690001,7679985.787682
51,106870185.88608997,76493949.46388401,4041721.71468,7203808.53378
52,110604694.56479998,78026097.546298,3924175.62047,7525720.92685
53,116287892.95615998,80623853.6640056,3748454.1741137006,8024885.233111579
54,125658552.53241004,87238128.85006,3985101.60666,9421770.84509
55,124840319.9624,87044720.924779,4074608.9255400007,10487530.925990002
56,123002252.42976004,87296730.50595802,4184266.09273,8585647.017749999
57,140487487.26625,97615705.17147,4785226.40222,10121840.861939998
58,141701960.658653,95609863.772648,4869397.98133,11464394.099573
59,183983151.87992013,128135286.608957,5863700.607899001,16665123.151430003
60,154517094.1819681,103783610.342116,6138441.197065001,13433071.980283003
61,152202573.39011797,105530494.041341,6436027.691499,13301387.170626
62,168982502.27879015,118823011.688603,6886240.028900002,12405837.082960002
63,177148082.8202,127796957.026236,6510665.780792001,11910475.622541996
64,179639238.64318994,126457871.761048,6314109.470376001,12349980.055988
